name,artist,release_date,length,featured_artists
Bridge of Sighs - 2007 Remaster,Robin Trower,01/01/1974,5028433333,"George Harrison, Harry Nilsson"
Dancing Barefoot,Patti Smith,01/01/1979,3070-08-08,"Ian Dury, Queen, Rush, Steely Dan"
"Natural One [In the Style of ""Folk Implosion""]",Stingray Music,01/01/2011,2983433333,"Midifine Systems, The Checks, Ultramarine, Done Again, The Versionarys"
Talk Dirty To Me,Poison,01/01/1986,3728883333,Duran Duran
Jesus of Suburbia,Green Day,01/01/2004,4401-10-09,"TRUSTcompany, The Killers, Barry Manilow"
White Hot,Red Rider,01/01/1980,1914-01-30,"Thin Lizzy, Harlequin, Steve Winwood"
Dissident (Remastered),Pearl Jam,01/01/1993,5831-03-01,Weezer
Play That Funky Music,Wild Cherry,01/01/1976,5.0,"Peter Frampton, Eric Clapton"
Rusted From the Rain,Billy Talent,01/01/2009,4221766667,"Keane, Deee-Lite"
One Way Out - Live At The Final Fillmore East Concert,Allman Brothers Band,01/01/1971,4935766667,"Blues Image, The Monks"
The Good Life,Three Days Grace,01/01/2009,2886216667,"Foo Fighters, Foster The People, Little Richard"
Down In A Hole,Alice In Chains,01/01/1992,6371-05-01,"Tears For Fears, Creed, Ugly Kid Joe, The Smiths"
Touch Me I'm Sick,Mudhoney,01/01/2008,5451-02-01,"Triumph, Sam Roberts Band, Slayer"
Don't Do Me Like That,Tom Petty and the Heartbreakers,01/01/1979,2696433333,"Billy Joel, ABC, David Bowie"
My Girls,Animal Collective,01/01/2009,5679766667,"OK Go, Nine Inch Nails, Sum 41, Incubus, Thirty Seconds To Mars"
In One Ear,Cage The Elephant,01/01/2009,1911-01-04,"Young the Giant, Deee-Lite, John Fogerty, Joy Division, The Clash"
A Forest - 2006 Remaster,The Cure,01/01/1980,3519-08-15,"Pink Floyd, Rainbow, Stevie Ray Vaughan"
The World I Know,Collective Soul,01/01/1995,4257766667,"Beck, Cypress Hill, Alanis Morissette, Tom Petty and the Heartbreakers, Elton John"
Love Bites - Remastered 2017,Def Leppard,01/01/1987,5782666667,"INXS, Various Artists, R.E.M."
Super Freak,Rick James,01/01/1981,3424433333,"AC/DC, Duran Duran, Billy Idol, Eurythmics"
Keep on Loving You,REO Speedwagon,01/01/1980,3338216667,"The Police, Bruce Springsteen, George Thorogood & The Destroyers, Peter Frampton, 38 Special"
The Last Fight,Velvet Revolver,01/01/2007,4050883333,"Switchfoot, Triumph"
Breath,Breaking Benjamin,01/01/2006,6411-03-01,
The Rover - 1993 Remaster,Led Zeppelin,01/01/1975,6151-05-01,"AC/DC, The Police, Dire Straits, Boston, Rush"
Black Sabbath,Black Sabbath,01/01/2017,1917-03-19,"Screamin' Jay Hawkins, Max Webster, The Beatles, The Velvet Underground"
Twist My Arm,The Tragically Hip,01/01/1991,3947333333,"Dave Matthews Band, Hoodoo Gurus, Collective Soul, Guns N' Roses, Alice Cooper"
Constant Craving,k.d. lang,01/01/2010,4620666667,Coldplay
God Gave Rock 'N' Roll To You II,KISS,01/01/1992,3371-05-01,"Faith No More, Big Audio Dynamite, Beck"
All Star,Smash Mouth,01/01/1999,2814-05-02,"Kenny Loggins, Foo Fighters"
At Last,Etta James,01/01/1960,2994883333,
Bully,Shinedown,01/01/2012,4045766667,"Ozzy Osbourne, Editors"
White Riot - Remastered,The Clash,01/01/1977,1940666667,"Sex Pistols, Aerosmith"
Violet,Hole,01/01/1994,2835-02-21,Silverchair
Prisoner of Society,The Living End,01/01/1999,3817766667,"Machine Head, Supergrass, Cro-Mags, The Used"
Do You Believe in Magic?,The Lovin' Spoonful,01/01/1965,0971-02-01,"The Zombies, The Beatles, Led Zeppelin, Edwin Starr"
The Taste of Ink,The Used,01/01/2002,3478216667,"Linkin Park, Foo Fighters, Foo Fighters"
Cities In Dust,Siouxsie and the Banshees,01/01/1986,2956-09-14,"Metallica, Depeche Mode, Poison"
Heaven and Hell - 2008 Remaster,Black Sabbath,01/01/1980,6998883333,Stevie Ray Vaughan
Twist And Shout,The Isley Brothers,01/01/1962,2.59,Chuck Berry
Police & Thieves,Junior Murvin,01/01/1977,4068483333,"Supertramp, Billy Joel, Ace, Joe Jackson, Eagles"
Spirit in the Night,Bruce Springsteen,01/01/1973,4973333333,Black Sabbath
Politik,Coldplay,01/01/2002,5310433333,
And Your Bird Can Sing - Remastered 2009,The Beatles,01/01/1966,2008216667,"Black Sabbath, The Velvet Underground, Four Tops, Mountain"
Start Choppin',Dinosaur Jr.,01/01/1993,5669766667,"Marillion, Robert Plant, The Waterboys"
I Got a Line on You,Spirit,01/01/1973,6571-02-01,
Pink Moon,Nick Drake,01/01/1972,2462-10-14,"Simon & Garfunkel, The Beatles, Neil Young, Harry Nilsson"
The Day I Tried To Live,Soundgarden,01/01/1994,3351-05-01,Big Audio Dynamite
Nightmare,Avenged Sevenfold,01/01/2010,6240883333,"Belinda Carlisle, Scissor Sisters, Finger Eleven"
Higher Love - Single Version,Various Artists,01/01/2020,1915-01-25,"Keith Richards, King Gizzard & The Lizard Wizard, Tom Cochrane, Jimi Hendrix"
For No One - Remastered 2009,The Beatles,01/01/1966,1996883333,"Led Zeppelin, Big Brother & The Holding Company, Joe Cocker, Bob Dylan, David Bowie"
Everything About You,Ugly Kid Joe,01/01/1992,4336666667,"Butthole Surfers, Ebba Grön"
Wynona's Big Brown Beaver,Primus,01/01/1995,3571-04-01,"Kid Rock, Tonic"
Fields Of Gold,Sting,01/01/1993,1910-02-20,
William,The Smiths,01/01/1984,2193333333,"Cold Chisel, Dead Kennedys, AC/DC, Duran Duran, Misfits"
State of Love and Trust,Various Artists,01/01/1992,3786666667,"Pat Benatar, Nirvana"
Hitch a Ride,Boston,01/01/1976,3048-09-12,Duran Duran
Little Fluffy Clouds,The Orb,01/01/1991,4611-04-01,"George Harrison, Joe Cocker"
I Can't Go For That (No Can Do) - Pomo Remix,Daryl Hall,01/01/2017,5129883333,King Gizzard & The Lizard Wizard
Lady Writer,Dire Straits,01/01/1979,3744433333,"Dokken, ZZ Top, Gang Of Four"
Go All The Way,Raspberries,01/01/1972,3422433333,"Boston, David Bowie, Blue Öyster Cult"
Life on Mars? - 2015 Remaster,David Bowie,01/01/1971,9331-03-01,"Electric Light Orchestra, Steely Dan, The Stylistics, Eddie Floyd, The Beatles"
Still Loving You,Scorpions,01/01/2011,6724216667,Various Artists
The Ballad Of John And Yoko - Remastered 2015,The Beatles,01/01/2000,2991333333,"Evanescence, Authority Zero, The Tragically Hip"
Margaritaville,Jimmy Buffett,01/01/1977,4182216667,Frankie Valli & The Four Seasons
Blind,Korn,01/01/1994,4304433333,"White Zombie, Limp Bizkit"
Regret - 2015 Remaster,New Order,01/01/1993,3036-02-08,
Hate To Say I Told You So,The Hives,01/01/2000,3344883333,"Kenny Loggins, The Bangles, AC/DC, System Of A Down, A Perfect Circle"
Ob-La-Di,The Beatles,01/01/1968,3149333333,The Who
Move on Up,Curtis Mayfield,01/01/1970,2656-07-09,"The Doobie Brothers, The Beatles"
Powderfinger - 2016 Remaster,Neil Young,01/01/1979,1915-01-29,
Long Time Gone - Live,Crosby,01/01/1971,5974433333,"Roxy Music, KISS"
Warning,Green Day,01/01/2000,3694433333,Godsmack
It's Your Thing,The Isley Brothers,01/01/1969,2672-07-05,The Beach Boys
The Crystal Ship,The Doors,01/01/1967,2533333333,"Elvis Presley, The Beatles, Van Morrison, Grateful Dead, Frankie Valli & The Four Seasons"
The Flame,Cheap Trick,01/01/1988,5646666667,"Fleetwood Mac, Duran Duran, Fleetwood Mac"
Pressure Man - 2015 Remaster,the feelers,01/01/1998,4536216667,"Tadpole, Thursday"
Summertime Blues,Blue Cheer,01/01/1990,3781766667,
Molly (16 Candles),Sponge,01/01/2011,3691666667,"Huey Lewis & The News, Frank Zappa, Hurts, Dave Dobbyn, Death Cab for Cutie"
Dead Souls,Various Artists,01/01/1994,4894883333,"Our Lady Peace, The Who"
He's a Rebel,The Crystals,01/01/2011,2514883333,"Sweet, Various Artists, Wilco, Stroke 9, Chickenfoot"
Babooshka,Kate Bush,01/01/1980,3498883333,"Black Flag, Electric Light Orchestra, Led Zeppelin, Bruce Springsteen"
Glory Glory,Head Like A Hole,01/01/2011,3523716667,"King Gizzard & The Lizard Wizard, Fall Out Boy, Villainy, Soundgarden"
Original Prankster,The Offspring,01/01/2000,3682433333,"Powderfinger, Better Than Ezra, Queens of the Stone Age"
Bleed It Out,Linkin Park,01/01/2007,2772883333,"Thirty Seconds To Mars, AC/DC, Disturbed, Foster The People, The Killers"
Don't Stop (Color on the Walls),Foster The People,01/01/2011,2915333333,Flyleaf
Mustang Sally,Wilson Pickett,01/01/2005,3129333333,"Zero 7, Various Artists"
Englishman In New York,Sting,01/01/1987,4454433333,"Prince, U2, Night Ranger, Daryl Braithwaite"
Jailbreak,AC/DC,01/01/1984,4682666667,"Def Leppard, Lionel Richie, Talking Heads, New Order, John Mellencamp"
Lovefool,The Cardigans,01/01/1996,2784-10-06,"Diesel, Lenny Kravitz"
Lyin' Eyes - 2013 Remaster,Eagles,01/01/1975,6366633333,Pat Benatar
No Leaf Clover - Live,Metallica,01/01/1999,5.72,"Fear Factory, Korn, The Tragically Hip"
Black Metallic,Catherine Wheel,01/01/1992,3151-07-01,"Blue Rodeo, Ike & Tina Turner, Blue Rodeo"
I Melt with You,Modern English,01/01/1982,4192883333,"Mike & The Mechanics, Van Halen, KISS, Dire Straits, Earth, Wind & Fire"
Starship Trooper: Life Seeker - Single Version,Yes,01/01/1971,3444433333,"The Move, The Amboy Dukes, Thin Lizzy, Deep Purple, Status Quo"
Flesh For Fantasy - Remastered,Billy Idol,01/01/1983,1912-09-11,"Elvis Costello & The Attractions, The Teardrop Explodes, Divinyls, Transvision Vamp, Violent Femmes"
Love Is Strange,Various Artists,01/01/1987,2888883333,
Let Down,Radiohead,01/01/1997,4992666667,"Cake, Soundgarden"
Tales Of Brave Ulysses,Cream,01/01/1967,2772666667,"Grateful Dead, David Bowie"
Rock Of Ages,Def Leppard,01/01/1983,4130466667,
Sleep Now In the Fire,Rage Against The Machine,01/01/1999,3426666667,"System Of A Down, Jet, Muse, Papa Roach"
I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,01/01/2006,1911-05-06,"Tantric, OutKast"
Round and Round,Ratt,01/01/1984,3113-04-25,"Living Colour, David Lee Roth, Red Hot Chili Peppers, Diana Ross, The Smiths"
Rocket,Def Leppard,01/01/1987,6613716667,"Real Life, Yes, U2"
Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,01/01/1967,1907-08-09,Bill Haley & His Comets
Man On The Silver Mountain,Rainbow,01/01/1975,4620433333,
Little Darlin',The Diamonds,01/01/1996,2490-03-01,"Three Dog Night, G. Love & Special Sauce, Radiohead, Melissa Etheridge"
Last Cup of Sorrow,Faith No More,01/01/1997,3089-10-07,"Against Me!, Machine Head"
The Voice,The Moody Blues,01/01/1981,1914-06-11,
Wolf Like Me,TV On The Radio,01/01/2006,4654883333,"A Perfect Circle, Edgar Winter, Audioslave, Dashboard Confessional, Muse"
Thieves like Us - 2011 Total Version,New Order,01/01/2011,2979-09-14,"Slash, Simple Minds"
Venus In Furs,The Velvet Underground,01/01/1967,5204216667,"Mott The Hoople, The Beatles"
Freak Scene,Dinosaur Jr.,01/01/1988,1909-11-24,
Last Train Home (Originally Performed by Lostprophets) - Vocal Version,Singer's Edge Karaoke,01/01/2013,4091433333,"Ty Segall, The Karaoke Channel, The Adults"
Live And Let Die,Guns N' Roses,01/01/1991,2733-11-03,"Seven Mary Three, The Beloved"
Centerfield,John Fogerty,01/01/2010,3855766667,"Stereophonics, Queens of the Stone Age, The Script, Animal Collective"
Alex Chilton - 2008 Remaster,The Replacements,01/01/1987,2786-12-15,
Jokerman,Bob Dylan,01/01/1983,6269333333,"The Rolling Stones, Don Henley, Journey, Eric Clapton, R.E.M."
In the City - 2013 Remaster,Eagles,01/01/1979,3742483333,"Aerosmith, Bob Seger, Thin Lizzy"
Who Do You Love?,George Thorogood & The Destroyers,01/01/1992,1911-11-14,"Jane's Addiction, Melissa Etheridge, Red Hot Chili Peppers, Dog's Eye View, Pearl Jam"
Going Up The Country,Canned Heat,01/01/1987,2856216667,
Time Stand Still,Rush,01/01/1987,5147766667,"Gary Moore, Dead Kennedys, Stone Temple Pilots"
For Tomorrow - 2012 Remaster,Blur,01/01/1993,1911-12-02,
Candy's Room,Bruce Springsteen,01/01/1978,2770666667,"Ramones, Duran Duran"
Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,01/01/1996,3951333333,"Tom Petty, Ben Harper And The Innocent Criminals, Crowded House, The Verve Pipe, The McCoys"
In Dreams,Roy Orbison,01/01/1963,2819333333,"Elvis Presley, The Beatles"
My Wife,The Who,01/01/1971,3561333333,"Joe Cocker, The Moody Blues, Queen"
My Mind's Sedate,Shihad,01/01/1999,2899333333,
Nowhere To Run,Martha Reeves & The Vandellas,01/01/1965,3027333333,The Beatles
Dreadlock Holiday,10cc,01/01/1978,4465766667,John Mellencamp
Lonely Day,System Of A Down,01/01/2005,2798433333,"Kings of Leon, Gloria Gaynor"
Click Click Boom,Saliva,01/01/2001,4206666667,"Savage Garden, Kings of Leon, Red Hot Chili Peppers"
Carrie,Europe,01/01/1986,3141-10-15,U2
Voodoo Child (Slight Return) - Live,Stevie Ray Vaughan,01/01/2002,1187666667,
If I Was Your Girlfriend,Prince,01/01/1987,5028883333,
Throw Your Arms Around Me,Various Artists,01/01/2013,3970883333,"J. Frank Wilson & The Cavaliers, Tesla, CHIC, Bruce Springsteen"
Beginning To See The Light,The Velvet Underground,01/01/2014,1912-10-11,
That's All - Remastered 2007,Genesis,01/01/1983,4436216667,"Frankie Goes To Hollywood, Journey"
Ants Marching,Dave Matthews Band,01/01/1994,4519766667,Pearl Jam
Blood Sugar Sex Magik,Red Hot Chili Peppers,01/01/1991,4519333333,"Europe, Camper Van Beethoven, Pearl Jam, The Cure, Primal Scream"
Superman (It's Not Easy),Five For Fighting,01/01/2000,3694883333,"Radiohead, Afroman, Shania Twain, Limp Bizkit"
Downfall,TRUSTcompany,01/01/2002,2773-04-07,"The Strokes, blink-182"
First Date,blink-182,01/01/2001,2858883333,The Red Jumpsuit Apparatus
Serenity,Godsmack,01/01/2007,4574666667,"Incubus, Foo Fighters, T. Rex, Radiohead"
Given Up,Linkin Park,01/01/2007,3154883333,The Shins
Travelin' Band,Creedence Clearwater Revival,01/01/1970,2124883333,"Sly & The Family Stone, The Rolling Stones, David Bowie, Led Zeppelin, Deep Purple"
Novocaine For The Soul,Eels,01/01/2008,3128666667,"Grateful Dead, U2, Bon Jovi"
Remember (Walkin' In The Sand),The Shangri-Las,01/01/1996,2302216667,"Europe, The Diamonds, Foo Fighters, Counting Crows, Various Artists"
Fool To Cry - Remastered 2009,The Rolling Stones,01/01/1976,2025-09-05,Electric Light Orchestra
In the Ghetto,Elvis Presley,01/01/1969,2790216667,"The Stylistics, The Righteous Brothers"
Head On,The Jesus and Mary Chain,01/01/1989,4191333333,"Pantera, Dave Matthews Band"
Roots Bloody Roots,Sepultura,01/01/1996,2868-07-17,"Primal Scream, The Boo Radleys"
That's the Way of the World,Earth,01/01/1975,5758433333,
Right Here Waiting,Richard Marx,01/01/1989,3106-03-13,Mazzy Star
Midnight Rambler - Live,The Rolling Stones,01/01/2020,4731-12-19,"King Gizzard & The Lizard Wizard, King Gizzard & The Lizard Wizard, Raze, Osees"
Lazy,Deep Purple,01/01/1972,3771-07-01,"Black Sabbath, Wings, Thin Lizzy, Gene Pitney, Small Faces"
You Again - Originally By Shihad,earthtone9,01/01/2004,4594883333,
Counting the Beat,Various Artists,01/01/2020,2740-12-16,
Elected,Alice Cooper,01/01/1973,1911-04-26,"Nationalteatern, Triumph, Bob Dylan"
Dirty Water,The Standells,01/01/1966,2663-03-15,
The Seeker - Edit,The Who,01/01/1971,3172883333,"Elton John, Peter Frampton, Parliament, Simon & Garfunkel, Dr. Hook"
Sisters Are Doin' It For Themselves - (Tribute to The Eurythmics & Aretha Franklin),Studio Allstars,01/01/2009,3027-11-22,Sidecar Radio
Seein' Red,Unwritten Law,01/01/2001,3781766667,"Liz Phair, Trapt"
Cold,Crossfade,01/01/2004,2371-03-01,"Anberlin, Matchbox Twenty, Audioslave, Jimmy Eat World, Blur"
Shout,Tears For Fears,01/01/1985,5611-06-01,"Australian Crawl, Bruce Springsteen, ZZ Top, Faith No More, Talking Heads"
I Don't Know - EP Version,The Sheepdogs,01/01/2011,3182433333,"Cold Chisel, OneRepublic, King Gizzard & The Lizard Wizard, Various Artists"
Detachable Penis,King Missile,01/01/1992,3387333333,Liquid Liquid
DARE,Gorillaz,01/01/2005,4083316667,
Reckless (Don't Be So...) - Remastered,Australian Crawl,01/01/1983,3998-05-01,Glenn Medeiros
Holy Wars...The Punishment Due - Remastered 2004,Megadeth,01/01/1990,6543333333,"The Smiths, Aerosmith, Dead Or Alive, Phil Collins, Guns N' Roses"
Beautiful Dangerous (feat. Fergie),Slash,01/01/2010,3170-10-23,
Phasors On Stun,FM,01/01/1977,1910-06-12,"The Associates, Blondie"
Waiting for the Bus / Jesus Just Left for Chicago,CMH Steel,01/01/2002,3741-12-08,"Luke Haines, Foo Fighters, John Denver, The Hit Co., The Go-Betweens"
Sara - 2015 Remaster,Fleetwood Mac,01/01/1979,5851-04-01,
Face Down,The Red Jumpsuit Apparatus,01/01/2006,2025-02-03,"Hoobastank, Saving Abel, Green Day, Avenged Sevenfold, Foo Fighters"
Optimistic,Radiohead,01/01/2000,5266216667,The Coasters
Destiny,Zero 7,01/01/2001,5637983333,"Ozzy Osbourne, System Of A Down, The Verve, Red Hot Chili Peppers"
Ain't Too Proud To Beg - Remastered,The Rolling Stones,01/01/1974,3509333333,"The Moody Blues, Madness, Buzzcocks"
Pink Cadillac - Single B-Side - 1984,Bruce Springsteen,01/01/1998,5511-03-01,"Cold, Flogging Molly, Everclear, Various Artists, Fear Factory"
Lady Picture Show,Stone Temple Pilots,01/01/1996,1051-04-01,The Bucketheads
The Shape I'm In - Remastered 2000,The Band,01/01/1970,2997-10-09,
We've Got Tonight,Bob Seger,01/01/1978,4686883333,"Eagles, Gordon Lightfoot, The Stylistics"
Jerry Was A Racecar Driver - 2013 Mix,Primus,01/01/1991,2771-01-28,"Sass Jordan, Clawfinger"
Teach Your Children,Crosby,01/01/1970,8911-02-01,"Bobbie Gentry, John Denver"
Counting Blue Cars (Tell Me Your Thoughts On God),Various Artists,01/01/2015,1913-04-03,"King Gizzard & The Lizard Wizard, Dr. Dog"
Vindicated,Dashboard Confessional,01/01/2007,3355766667,"Muse, Bloc Party"
Wheel in the Sky,Journey,01/01/1978,1911-07-05,"Bob Seger, Bob Dylan, Ramones, The Police"
Run,Snow Patrol,01/01/2004,9091-05-01,PJ Harvey
Punk Rock Girl,The Dead Milkmen,01/01/1988,2638883333,"The Black Sorrows, ZZ Top"
Neon Sunrise - Bonus Track,I Am Giant,01/01/2014,3148-11-27,Cairo Knife Fight
Bed Of Roses,Bon Jovi,01/01/1992,6573333333,"Phil Collins, Crowded House, Bad English"
Only the Good Die Young,Billy Joel,01/01/1977,1910-09-30,"Ramones, Warren Zevon, David Bowie, The Rolling Stones, AC/DC"
Poison Girl,HIM,01/01/2014,3851716667,Matt Mays
Are You Experienced?,Jimi Hendrix,01/01/1967,4260216667,"Deep Purple, Black Sabbath, The Stooges, Smokey Robinson & The Miracles, The Kinks"
I Love It Loud,KISS,01/01/1982,2571-04-01,"Bob Seger, The Power Station, Tom Petty and the Heartbreakers, The Cars, INXS"
The Good Left Undone,Rise Against,01/01/2006,3024216667,Beck
Shop Around,Smokey Robinson & The Miracles,01/01/1998,2822216667,"Mercury Rev, Scritti Politti, Super Furry Animals, Petula Clark"
Rid Of Me,PJ Harvey,01/01/1993,4480433333,"Crash Test Dummies, The Tragically Hip, Nine Inch Nails, Muddy Waters"
A Kind Of Magic - Remastered 2011,Queen,01/01/1986,4404216667,"Phil Collins, KISS, Pennywise, Guns N' Roses, Fleetwood Mac"
Fooling Yourself (The Angry Young Man),Styx,01/01/1977,5311-05-01,"Dragon, Deep Purple, Dan Fogelberg, David Gilmour, The Doobie Brothers"
Kentucky Woman,Deep Purple,01/01/1968,4742216667,"The Guess Who, The Doobie Brothers, Spirit, The Who"
One Fine Day,The Chiffons,01/01/2004,2484-12-27,"AC/DC, Saliva, Bruce Springsteen, Nirvana, Against Me!"
Happy?,Mudvayne,01/01/2005,6071-03-01,"My Chemical Romance, HammerFall, The Ataris, Linkin Park"
Changed the Locks,Lucinda Williams,01/01/2014,3730883333,INXS
Veronica,Elvis Costello,01/01/1989,3158433333,"Various Artists, Beastie Boys, R.E.M."
Mama Kin,Aerosmith,01/01/1973,4453766667,Little Feat
Close to the Edge (i. The Solid Time of Change,Yes,01/01/1972,7016-06-22,
Talk Shows on Mute,Incubus,01/01/2004,3806666667,Chubby Checker
Blue Monday,Orgy,01/01/1998,4.45,"Dinosaur Jr., Beck, The All-American Rejects, Bob Marley & The Wailers"
The Dark End of the Street,James Carr,01/01/2013,2566433333,"Various Artists, The Moody Blues, Various Artists"
We Are The World,U.S.A. For Africa,01/01/1985,7122216667,"Elton John, Steve Winwood"
When I Grow Up,Garbage,01/01/1998,3408783333,"Spiritualized, Lo Fidelity Allstars"
Love Rollercoaster,Classic Sounds,01/01/2014,3116-08-07,"Steriogram, HIM, My Morning Jacket, Zodiac Mindwarp & The Love Reaction"
You Might Think,The Cars,01/01/1984,3078616667,The Smiths
Get Together,The Youngbloods,01/01/1967,4654666667,"The Velvet Underground, The Byrds"
Cornflake Girl,Tori Amos,01/01/1994,3294-01-05,
And We'll Defy,I Am Giant,01/01/2011,4168666667,Sam Roberts Band
Got My Mind Set On You - Remastered 2004,George Harrison,01/01/1987,3910883333,"Talking Heads, John Mellencamp"
Something In The Air,Thunderclap Newman,01/01/1969,1910-09-10,
Say You Love Me,Fleetwood Mac,01/01/1975,4165766667,"The O'Jays, The Isley Brothers, Earth, Wind & Fire, Pete Townshend"
Da Ya Think I'm Sexy?,Rod Stewart,01/01/1978,5522216667,
Smokin',Boston,01/01/1976,4356433333,
Don't Come Around Here No More,Tom Petty and the Heartbreakers,01/01/1985,5122216667,"Dire Straits, The Police, Jane's Addiction, Loverboy"
Only,Nine Inch Nails,01/01/2005,4384883333,
Rollin' (Air Raid Vehicle),Limp Bizkit,01/01/2000,3562666667,Nirvana
Are You In?,Incubus,01/01/2001,4403333333,
April 29,Sublime,01/01/1996,3.89,
Bat Country,Avenged Sevenfold,01/01/2005,5196883333,P!nk
The Promised Land,Bruce Springsteen,01/01/1978,4474216667,
You're Beautiful,James Blunt,01/01/2005,2855-12-13,"Five For Fighting, Paramore, Sam Cooke, Audioslave, The Temptations"
The Great Gig in the Sky,Pink Floyd,01/01/1973,7312-04-01,"Carpenters, Big Brother & The Holding Company, Bill Withers, Neil Young"
Anything Goes,Cole Porter,01/01/2011,5804216667,"Johnny Cash, Grace Potter & The Nocturnals, LEISURE, Local H, Various Artists"
Stop! In The Name Of Love - Single Version,The Supremes,01/01/1965,2881766667,"Bee Gees, Creedence Clearwater Revival, Nancy Sinatra"
Psycho,The Sonics,01/01/1991,2347766667,"Europe, The Tragically Hip"
This is Radio Clash,The Clash,01/01/2013,1911-07-09,"Various Artists, Sweet, King Gizzard & The Lizard Wizard, Glenn Frey, Dr. Dog"
I Get It,Chevelle,01/01/2007,3916433333,"blink-182, Backyard Babies, Say Anything, Rival Sons"
Ready To Fall,Rise Against,01/01/2006,7951-03-01,"Manchester Orchestra, Metric"
Romeo and Juliet,Dire Straits,01/01/1980,3549-02-08,"Frank Zappa, The Jesus and Mary Chain, Rainbow, Fleetwood Mac"
Still Frame,Trapt,01/01/2002,4518216667,"Staind, Everclear, The Offspring"
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,01/01/2008,5601866667,"Bob Marley & The Wailers, Three Days Grace, The Used"
I Will Buy You A New Life,Everclear,01/01/1997,3968883333,"Veruca Salt, Bruce Springsteen"
Sail Away - Remastered,Randy Newman,01/01/1972,2887766667,
Africa,TOTO,01/01/1982,3250-03-17,"Bob Marley & The Wailers, Prince, Kansas, Heart, Pink Floyd"
Raise The Alarm,The Living End,01/01/2008,3624666667,Dr. Dog
Little Talks,Of Monsters and Men,01/01/2012,4443333333,"The Killers, Santana, Robbie Williams, Avenged Sevenfold"
Twilight Zone,Golden Earring,01/01/2008,7968433333,"Huey Lewis & The News, Foo Fighters, Wilco, The Raconteurs"
Cemetry Gates - 2011 Remaster,The Smiths,01/01/1986,1907-05-07,"Patti Smith, AC/DC"
Hello It's Me,Todd Rundgren,01/01/1972,3105-02-06,"The O'Jays, AC/DC, Slade"
Not Your Fault,AWOLNATION,01/01/2011,4041166667,"Red Hot Chili Peppers, Sick Puppies"
Swallowed - Remastered,Bush,01/01/1996,4850883333,"the feelers, Crowded House, Lloyd Price, Sentenced, The Sonics"
Is She Really Going Out With Him?,Joe Jackson,01/01/1979,3584433333,"Eric Carmen, Jethro Tull, The Doobie Brothers, Bruce Springsteen, Lionel Richie"
We're Here For A Good Time (Not A Long Time),Trooper,01/01/1977,3570883333,"The O'Jays, The Hollies, Dire Straits"
Addicted,Saving Abel,01/01/2008,3713766667,My Chemical Romance
Prime Mover (Re-Recorded Version),Zodiac Mindwarp & The Love Reaction,01/01/2009,3198516667,"Dinosaur Feathers, A Change of Pace, Our Lady Peace"
Little Black Backpack (Remastered),Stroke 9,01/01/2010,3748983333,
Look Around,Red Hot Chili Peppers,01/01/2011,3466666667,"The Offspring, Sixx:A.M., Bruce Springsteen"
No Resolution,Seether,01/01/2011,3137283333,"Scorpions, The Dresden Dolls"
No Cars Go,Arcade Fire,01/01/2007,7271-05-01,"Various Artists, Everything But The Girl, Goanna, Thirty Seconds To Mars"
No Ordinary Thing,Opshop,01/01/2005,5456666667,"My Morning Jacket, Spoon"
That's When I Reach For My Revolver,Mission Of Burma,01/01/1981,3892883333,"The Smiths, Bruce Springsteen, The Greg Kihn Band, The Moody Blues"
What's This Life For,Creed,01/01/1997,1371-04-01,
Crazy,Willie Nelson,01/01/1962,2689-06-06,
Holiday in Cambodia,Dead Kennedys,01/01/1987,3747766667,Mötley Crüe
Blue Collar Man (Long Nights),Styx,01/01/1978,4122883333,"Little River Band, Steve Miller Band"
Changes - 2013 Remaster,Black Sabbath,01/01/1972,4708283333,"Traffic, King Crimson, Bob Dylan, Supertramp"
Lakeside Park - Live,Rush,01/01/1975,4126666667,"Bachman-Turner Overdrive, Wreckless Eric"
The Rain Song - Remaster,Led Zeppelin,01/01/1973,3994-12-02,Neil Young
Scarlet Begonias - 2013 Remaster,Grateful Dead,01/01/1974,4328366667,"Dr. Hook, The Charlie Daniels Band, Crosby, Stills, Nash & Young"
Spinning Wheel,Blood,01/01/1968,1211-04-01,
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,01/01/1997,2881-09-07,"Lifehouse, Foo Fighters, Powerman 5000, Tal Bachman"
I'll Wait - 2015 Remaster,Van Halen,01/01/1984,6691-04-01,"Oingo Boingo, Billy Joel"
The Trees,Rush,01/01/1978,4708433333,"Australian Crawl, AC/DC, Bob Seger, Siouxsie and the Banshees, Violent Femmes"
Radio Nowhere,Bruce Springsteen,01/01/2007,3317766667,
Separate Ways (Worlds Apart),Journey,01/01/1983,3951-05-01,
Jack-Ass,Beck,01/01/2004,4204666667,"Various Artists, Ronny & The Daytonas, The Polyphonic Spree, The Guess Who"
Joker & The Thief - Final Hour Mix,Wolfmother,01/01/2018,2517633333,"Various Artists, Screamin' Jay Hawkins, Doucette, Various Artists, King Gizzard & The Lizard Wizard"
