index,name,artist,release_date,length,popularity,featured_artists
1269,Lean on Me,Bill Withers,1972,4.3139,71,"Jefferson Airplane, John Denver, Joni Mitchell, Eric Clapton, Crosby, Stills, Nash & Young"
1270,Stone Cold Crazy - Remastered 2011,Queen,1974,2.230216667,47,"The Damned, Eagles, T. Rex"
1271,Aces High - 2015 Remaster,Iron Maiden,1984,4.531766667,62,
1272,One Love / People Get Ready - Medley,Bob Marley & The Wailers,1977,2.882216667,72,"Heart, Elton John, 10cc, Steve Miller Band"
1273,You've Got Another Thing Coming,Judas Priest,1982,5.168,66,Bryan Adams
1274,Time to Pretend,MGMT,2007,4.35,72,
1275,Jaded,Aerosmith,2001,3.572216667,61,"Angels & Airwaves, Rage Against The Machine, Korn, blink-182, Linkin Park"
1276,Hanging By A Moment,Lifehouse,2000,3.6011,65,"Bob Marley & The Wailers, Kings of Leon, Oasis, Rammstein, Rage Against The Machine"
1277,Nowhere Man - Remastered 2009,The Beatles,1965,2.728216667,63,"Black Sabbath, Three Dog Night, Blues Image, The Band, Jr. Walker & The All Stars"
1278,The Lamb Lies Down on Broadway - New Stereo Mix,Genesis,1974,4.906,38,
1279,Both Sides Now,Joni Mitchell,2000,5.756666667,65,
1280,The Boys Light Up - Remastered,Australian Crawl,1980,4.6911,62,Prince
1281,Ride On,AC/DC,1976,5.837766667,56,"Bob Seger, Neil Young"
1282,The Lemon Song - 1993 Remaster,Led Zeppelin,1969,6.3271,53,"George Harrison, Sly & The Family Stone, Dr. Hook, The Doors, Status Quo"
1283,How Deep Is Your Love (Bee Gees),Michael Marc,2010,4.363516667,30,"Billy Vera & The Beaters, Joan Baez, Bellybuds, Elbow"
1284,Working Man,Rush,1974,7.166216667,61,"Sylvester, Ramones, Led Zeppelin, Queen, Creedence Clearwater Revival"
1285,Out Of Exile,Audioslave,2005,4.808433333,49,
1286,Let's Groove,"Earth, Wind & Fire",1981,5.655333333,73,Don Henley
1287,The Stroke - Remastered,Billy Squier,1981,3.626883333,66,"Pink Floyd, Eric Clapton, Fleetwood Mac, Pink Floyd"
1288,Papercut,Linkin Park,2000,3.0811,72,"The Killers, Evanescence"
1289,Europa (Earth's Cry Heaven's Smile),Santana,2007,5.0991,58,"Broken Bells, The Killers, Sheryl Crow, Golden Earring, The Black Keys"
1290,We're Not Gonna Take It,The Who,1969,7.102266667,34,"Buffalo Springfield, Paul Simon, Deep Purple, The Doobie Brothers"
1291,Time Is On My Side - Mono Version,The Rolling Stones,1965,2.98555,53,"Blues Image, Three Dog Night, Status Quo, The Animals"
1292,She's Lost Control - 2007 Remaster,Joy Division,1979,3.950216667,60,"AC/DC, Eurythmics, AC/DC, AC/DC"
1293,High Voltage,AC/DC,1976,4.236666667,61,"Talking Heads, The Modern Lovers, Stevie Wonder"
1294,Cowgirl in the Sand - 2009 Remaster,Neil Young,1969,10.11133333,49,"The Stooges, Black Sabbath, The Rolling Stones, Rod Stewart"
1295,Midnight City,M83,2011,4.066,76,"Green Day, The Black Keys, Kings of Leon, The All-American Rejects"
1296,Gold Lion,Yeah Yeah Yeahs,2006,3.118883333,52,
1297,Soul Meets Body,Death Cab for Cutie,2005,3.848433333,57,"John Mayer, Pearl Jam, Blondie, Grateful Dead, The Flaming Lips"
1298,Kiss Off,Violent Femmes,1983,2.945333333,55,"Chicago, U2, The Smiths, Cheap Trick, Pat Benatar"
1299,Let's Go Crazy,Prince,1984,4.666666667,62,"The Cure, Iron Maiden, Metallica, Cold Chisel"
1300,2 Minutes to Midnight - 2015 Remaster,Iron Maiden,1984,6.059766667,64,Poison
1301,Theme From Shaft - Album - Remastered,Isaac Hayes,1971,4.653333333,51,
1302,Innocent,Our Lady Peace,2002,3.707766667,55,"The Used, Hot Action Cop, Flyleaf, Arctic Monkeys, Deee-Lite"
1303,Buffalo Soldier,Bob Marley & The Wailers,1983,4.264,71,
1304,Add It Up,Violent Femmes,1983,4.738883333,56,"Japan, U2"
1305,The Diary of Jane - Single Version,Breaking Benjamin,2006,3.342433333,64,"Red Hot Chili Peppers, Incubus, Sum 41, Sonic Youth, Good Charlotte"
1306,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2006,2.894666667,59,Queens of the Stone Age
1307,My Happiness,Powderfinger,2000,4.610433333,64,"Yellowcard, The Beatles"
1308,Holy Grail,Hunters & Collectors,2003,3.824883333,38,
1309,Breathe (In the Air),Pink Floyd,1973,2.825566667,69,Simon & Garfunkel
1310,Moonage Daydream - 2012 Remaster,David Bowie,1972,4.66155,67,"Lynyrd Skynyrd, Fleetwood Mac, Steely Dan, The Rolling Stones"
1311,6 Underground,Sneaker Pimps,1996,3.814,51,"Days Of The New, Marillion, Hole, Europe"
1312,All I Wanna Do,Sheryl Crow,1993,4.5351,67,"Cher, Solomon Burke, Queensrÿche"
1313,Thriller,Michael Jackson,2017,5.96755,72,"Earth, Wind & Fire, The Shins, Belinda Carlisle, WALK THE MOON"
1314,Fire and Rain - 2019 Remaster,James Taylor,1970,3.39355,73,"Pink Floyd, Pink Floyd, The Beatles, Sam & Dave"
1315,Total Eclipse of the Heart,Bonnie Tyler,2009,4.456,77,
1316,As Tears Go By - Mono Version,The Rolling Stones,1965,2.75355,54,"The Beatles, Bob Dylan, Blind Faith"
1317,The Unforgettable Fire - Remastered 2009,U2,1984,4.9,47,"Def Leppard, Bob Seger, The Police, Van Halen"
1318,Bow River - 2011 Remastered,Cold Chisel,1982,4.390533333,54,
1319,Voodoo,Godsmack,1998,4.710883333,65,"Barenaked Ladies, Various Artists, The McCoys, Robbie Williams"
1320,The Freshmen,The Verve Pipe,1996,4.4911,63,"Radiohead, Incubus, Portishead, Robbie Williams"
1321,Abacab - 2007 Remaster,Genesis,1981,6.9691,46,
1322,All The Right Moves,OneRepublic,2009,3.966666667,65,
1323,Jumper - 1998 Edit,Third Eye Blind,1997,4.54955,67,"Sam Cooke, Lisa Loeb & Nine Stories, Filter"
1324,You're a Lie,Slash,2012,3.8151,37,"Fall Out Boy, Robert Plant, Nine Inch Nails"
1325,Dumb,Nirvana,1993,2.53155,64,Fleetwood Mac
1326,Hysteria,Def Leppard,1987,5.9106,68,Starship
1327,The Battle of Evermore - Remaster,Led Zeppelin,1971,5.861283333,49,Jimi Hendrix
1328,Rapper's Delight - Single Version,The Sugarhill Gang,2010,3.930666667,62,
1329,Casimir Pulaski Day,Sufjan Stevens,2005,5.8991,58,"The Avett Brothers, Canned Heat, Buddy Holly"
1330,Across The Universe - Remastered 2009,The Beatles,1970,3.802216667,66,"Van Morrison, Al Green, Pink Floyd, Barry Manilow, Led Zeppelin"
1331,Turn Me Loose,Loverboy,1980,5.632216667,58,"Judas Priest, Journey"
1332,Anyway Anyhow Anywhere - Stereo Version,The Who,1965,2.732983333,32,The Kinks
1333,Roller - Remastered,April Wine,2002,4.3311,44,"Rise Against, Treble Charger"
1334,Rainbow Dragon,Keiynan Lonsdale,2020,4.219183333,38,
1335,Helena,My Chemical Romance,2004,3.412216667,73,
1336,Cross-Eyed Mary,Jethro Tull,1971,4.17,51,"The Seeds, Robin Trower, Black Sabbath"
1337,Come And Get It - Remastered 2010,Badfinger,1970,2.386883333,47,"Bob Dylan, Bruce Springsteen, Santana, Creedence Clearwater Revival"
1338,Don't Let Me Be Misunderstood,The Animals,1987,2.428216667,56,
1339,Walk of Life,Dire Straits,1985,4.207766667,62,"KISS, The Vapors, Aldo Nova, ABC, R.E.M."
1340,Bridge of Sighs - 2007 Remaster,Robin Trower,1974,5.028433333,49,"George Harrison, Harry Nilsson"
1341,Dancing Barefoot,Patti Smith,1979,4.27555,60,"Ian Dury, Queen, Rush, Steely Dan"
1342,"Natural One [In the Style of ""Folk Implosion""]",Stingray Music,2011,2.983433333,11,"Midifine Systems, The Checks, Ultramarine, Done Again, The Versionarys"
1343,Talk Dirty To Me,Poison,1986,3.728883333,57,Duran Duran
1344,Jesus of Suburbia,Green Day,2004,9.13755,66,"TRUSTcompany, The Killers, Barry Manilow"
1345,White Hot,Red Rider,1980,5.144,39,"Thin Lizzy, Harlequin, Steve Winwood"
1346,Dissident (Remastered),Pearl Jam,1993,3.5831,55,Weezer
1347,Play That Funky Music,Wild Cherry,1976,5.0,68,"Peter Frampton, Eric Clapton"
1348,Rusted From the Rain,Billy Talent,2009,4.221766667,64,"Keane, Deee-Lite"
1349,"One Way Out - Live At The Final Fillmore East Concert, 1971",Allman Brothers Band,1971,4.935766667,51,"Blues Image, The Monks"
1350,The Good Life,Three Days Grace,2009,2.886216667,60,"Foo Fighters, Foster The People, Little Richard"
1351,Down In A Hole,Alice In Chains,1992,5.6371,63,"Tears For Fears, Creed, Ugly Kid Joe, The Smiths"
1352,Touch Me I'm Sick,Mudhoney,2008,2.5451,39,"Triumph, Sam Roberts Band, Slayer"
1353,Don't Do Me Like That,Tom Petty and the Heartbreakers,1979,2.696433333,60,"Billy Joel, ABC, David Bowie"
1354,My Girls,Animal Collective,2009,5.679766667,55,"OK Go, Nine Inch Nails, Sum 41, Incubus, Thirty Seconds To Mars"
1355,In One Ear,Cage The Elephant,2009,4.022,59,"Young the Giant, Deee-Lite, John Fogerty, Joy Division, The Clash"
1356,A Forest - 2006 Remaster,The Cure,1980,5.91555,54,"Pink Floyd, Rainbow, Stevie Ray Vaughan"
1357,The World I Know,Collective Soul,1995,4.257766667,63,"Beck, Cypress Hill, Alanis Morissette, Tom Petty and the Heartbreakers, Elton John"
1358,Love Bites - Remastered 2017,Def Leppard,1987,5.782666667,65,"INXS, Various Artists, R.E.M."
1359,Super Freak,Rick James,1981,3.424433333,76,"AC/DC, Duran Duran, Billy Idol, Eurythmics"
1360,Keep on Loving You,REO Speedwagon,1980,3.338216667,71,"The Police, Bruce Springsteen, George Thorogood & The Destroyers, Peter Frampton, 38 Special"
1361,The Last Fight,Velvet Revolver,2007,4.050883333,36,"Switchfoot, Triumph"
1362,Breath,Breaking Benjamin,2006,3.6411,64,
1363,The Rover - 1993 Remaster,Led Zeppelin,1975,5.6151,55,"AC/DC, The Police, Dire Straits, Boston, Rush"
1364,Black Sabbath,Black Sabbath,2017,6.288,30,"Screamin' Jay Hawkins, Max Webster, The Beatles, The Velvet Underground"
1365,Twist My Arm,The Tragically Hip,1991,3.947333333,42,"Dave Matthews Band, Hoodoo Gurus, Collective Soul, Guns N' Roses, Alice Cooper"
1366,Constant Craving,k.d. lang,2010,4.620666667,59,Coldplay
1367,God Gave Rock 'N' Roll To You II,KISS,1992,5.3371,55,"Faith No More, Big Audio Dynamite, Beck"
1368,All Star,Smash Mouth,1999,3.33955,79,"Kenny Loggins, Foo Fighters"
1369,At Last,Etta James,1960,2.994883333,75,
1370,Bully,Shinedown,2012,4.045766667,58,"Ozzy Osbourne, Editors"
1371,White Riot - Remastered,The Clash,1977,1.940666667,51,"Sex Pistols, Aerosmith"
1372,Violet,Hole,1994,3.41555,59,Silverchair
1373,Prisoner of Society,The Living End,1999,3.817766667,46,"Machine Head, Supergrass, Cro-Mags, The Used"
1374,Do You Believe in Magic?,The Lovin' Spoonful,1965,2.0971,68,"The Zombies, The Beatles, Led Zeppelin, Edwin Starr"
1375,The Taste of Ink,The Used,2002,3.478216667,65,"Linkin Park, Foo Fighters, Foo Fighters"
1376,Cities In Dust,Siouxsie and the Banshees,1986,3.85955,54,"Metallica, Depeche Mode, Poison"
1377,Heaven and Hell - 2008 Remaster,Black Sabbath,1980,6.998883333,57,Stevie Ray Vaughan
1378,Twist And Shout,The Isley Brothers,1962,2.59,57,Chuck Berry
1379,Police & Thieves,Junior Murvin,1977,4.068483333,58,"Supertramp, Billy Joel, Ace, Joe Jackson, Eagles"
1380,Spirit in the Night,Bruce Springsteen,1973,4.973333333,49,Black Sabbath
1381,Politik,Coldplay,2002,5.310433333,61,
1382,And Your Bird Can Sing - Remastered 2009,The Beatles,1966,2.008216667,59,"Black Sabbath, The Velvet Underground, Four Tops, Mountain"
1383,Start Choppin',Dinosaur Jr.,1993,5.669766667,52,"Marillion, Robert Plant, The Waterboys"
1384,I Got a Line on You,Spirit,1973,2.6571,31,
1385,Pink Moon,Nick Drake,1972,2.05555,69,"Simon & Garfunkel, The Beatles, Neil Young, Harry Nilsson"
1386,The Day I Tried To Live,Soundgarden,1994,5.3351,58,Big Audio Dynamite
1387,Nightmare,Avenged Sevenfold,2010,6.240883333,72,"Belinda Carlisle, Scissor Sisters, Finger Eleven"
1388,Higher Love - Single Version,Various Artists,2020,5.504,38,"Keith Richards, King Gizzard & The Lizard Wizard, Tom Cochrane, Jimi Hendrix"
1389,For No One - Remastered 2009,The Beatles,1966,1.996883333,62,"Led Zeppelin, Big Brother & The Holding Company, Joe Cocker, Bob Dylan, David Bowie"
1390,Everything About You,Ugly Kid Joe,1992,4.336666667,58,"Butthole Surfers, Ebba Grön"
1391,Wynona's Big Brown Beaver,Primus,1995,4.3571,56,"Kid Rock, Tonic"
1392,Fields Of Gold,Sting,1993,3.704,0,
1393,"William, It Was Really Nothing - 2011 Remaster",The Smiths,1984,2.193333333,53,"Cold Chisel, Dead Kennedys, AC/DC, Duran Duran, Misfits"
1394,State of Love and Trust,Various Artists,1992,3.786666667,56,"Pat Benatar, Nirvana"
1395,Hitch a Ride,Boston,1976,4.19555,54,Duran Duran
1396,Little Fluffy Clouds,The Orb,1991,4.4611,50,"George Harrison, Joe Cocker"
1397,I Can't Go For That (No Can Do) - Pomo Remix,Daryl Hall,2017,5.129883333,49,King Gizzard & The Lizard Wizard
1398,Lady Writer,Dire Straits,1979,3.744433333,62,"Dokken, ZZ Top, Gang Of Four"
1399,Go All The Way,Raspberries,1972,3.422433333,63,"Boston, David Bowie, Blue Öyster Cult"
1400,Life on Mars? - 2015 Remaster,David Bowie,1971,3.9331,71,"Electric Light Orchestra, Steely Dan, The Stylistics, Eddie Floyd, The Beatles"
1401,Still Loving You,Scorpions,2011,6.724216667,73,Various Artists
1402,The Ballad Of John And Yoko - Remastered 2015,The Beatles,2000,2.991333333,56,"Evanescence, Authority Zero, The Tragically Hip"
1403,Margaritaville,Jimmy Buffett,1977,4.182216667,67,Frankie Valli & The Four Seasons
1404,Blind,Korn,1994,4.304433333,64,"White Zombie, Limp Bizkit"
1405,Regret - 2015 Remaster,New Order,1993,4.14955,58,
1406,Hate To Say I Told You So,The Hives,2000,3.344883333,68,"Kenny Loggins, The Bangles, AC/DC, System Of A Down, A Perfect Circle"
1407,"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,1968,3.149333333,70,The Who
1408,Move on Up,Curtis Mayfield,1970,2.76315,70,"The Doobie Brothers, The Beatles"
1409,Powderfinger - 2016 Remaster,Neil Young,1979,5.508,50,
1410,Long Time Gone - Live,"Crosby, Stills, Nash & Young",1971,5.974433333,30,"Roxy Music, KISS"
1411,Warning,Green Day,2000,3.694433333,58,Godsmack
1412,It's Your Thing,The Isley Brothers,1969,2.82155,61,The Beach Boys
1413,The Crystal Ship,The Doors,1967,2.533333333,57,"Elvis Presley, The Beatles, Van Morrison, Grateful Dead, Frankie Valli & The Four Seasons"
1414,The Flame,Cheap Trick,1988,5.646666667,66,"Fleetwood Mac, Duran Duran, Fleetwood Mac"
1415,Pressure Man - 2015 Remaster,the feelers,1998,4.536216667,33,"Tadpole, Thursday"
1416,Summertime Blues,Blue Cheer,1990,3.781766667,36,
1417,Molly (16 Candles),Sponge,2011,3.691666667,47,"Huey Lewis & The News, Frank Zappa, Hurts, Dave Dobbyn, Death Cab for Cutie"
1418,Dead Souls,Various Artists,1994,4.894883333,51,"Our Lady Peace, The Who"
1419,He's a Rebel,The Crystals,2011,2.514883333,41,"Sweet, Various Artists, Wilco, Stroke 9, Chickenfoot"
1420,Babooshka,Kate Bush,1980,3.498883333,60,"Black Flag, Electric Light Orchestra, Led Zeppelin, Bruce Springsteen"
1421,Glory Glory,Head Like A Hole,2011,3.523716667,35,"King Gizzard & The Lizard Wizard, Fall Out Boy, Villainy, Soundgarden"
1422,Original Prankster,The Offspring,2000,3.682433333,62,"Powderfinger, Better Than Ezra, Queens of the Stone Age"
1423,Bleed It Out,Linkin Park,2007,2.772883333,73,"Thirty Seconds To Mars, AC/DC, Disturbed, Foster The People, The Killers"
1424,Don't Stop (Color on the Walls),Foster The People,2011,2.915333333,64,Flyleaf
1425,Mustang Sally,Wilson Pickett,2005,3.129333333,59,"Zero 7, Various Artists"
1426,Englishman In New York,Sting,1987,4.454433333,72,"Prince, U2, Night Ranger, Daryl Braithwaite"
1427,Jailbreak,AC/DC,1984,4.682666667,62,"Def Leppard, Lionel Richie, Talking Heads, New Order, John Mellencamp"
1428,Lovefool,The Cardigans,1996,3.23155,67,"Diesel, Lenny Kravitz"
1429,Lyin' Eyes - 2013 Remaster,Eagles,1975,6.366633333,66,Pat Benatar
1430,No Leaf Clover - Live,Metallica,1999,5.72,53,"Fear Factory, Korn, The Tragically Hip"
1431,Black Metallic,Catherine Wheel,1992,7.3151,41,"Blue Rodeo, Ike & Tina Turner, Blue Rodeo"
1432,I Melt with You,Modern English,1982,4.192883333,61,"Mike & The Mechanics, Van Halen, KISS, Dire Straits, Earth, Wind & Fire"
1433,Starship Trooper: Life Seeker - Single Version,Yes,1971,3.444433333,28,"The Move, The Amboy Dukes, Thin Lizzy, Deep Purple, Status Quo"
1434,Flesh For Fantasy - Remastered,Billy Idol,1983,4.638,50,"Elvis Costello & The Attractions, The Teardrop Explodes, Divinyls, Transvision Vamp, Violent Femmes"
1435,Love Is Strange,Various Artists,1987,2.888883333,56,
1436,Let Down,Radiohead,1997,4.992666667,60,"Cake, Soundgarden"
1437,Tales Of Brave Ulysses,Cream,1967,2.772666667,47,"Grateful Dead, David Bowie"
1438,Rock Of Ages,Def Leppard,1983,4.130466667,62,
1439,Sleep Now In the Fire,Rage Against The Machine,1999,3.426666667,67,"System Of A Down, Jet, Muse, Papa Roach"
1440,I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,2006,4.144,68,"Tantric, OutKast"
1441,Round and Round,Ratt,1984,4.43155,65,"Living Colour, David Lee Roth, Red Hot Chili Peppers, Diana Ross, The Smiths"
1442,Rocket,Def Leppard,1987,6.613716667,54,"Real Life, Yes, U2"
1443,Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,1967,2.778,53,Bill Haley & His Comets
1444,Man On The Silver Mountain,Rainbow,1975,4.620433333,59,
1445,Little Darlin',The Diamonds,1996,2.15555,54,"Three Dog Night, G. Love & Special Sauce, Radiohead, Melissa Etheridge"
1446,Last Cup of Sorrow,Faith No More,1997,4.34555,44,"Against Me!, Machine Head"
1447,The Voice,The Moody Blues,1981,5.276,43,
1448,Wolf Like Me,TV On The Radio,2006,4.654883333,61,"A Perfect Circle, Edgar Winter, Audioslave, Dashboard Confessional, Muse"
1449,Thieves like Us - 2011 Total Version,New Order,2011,3.94355,39,"Slash, Simple Minds"
1450,Venus In Furs,The Velvet Underground,1967,5.204216667,58,"Mott The Hoople, The Beatles"
1451,Freak Scene,Dinosaur Jr.,1988,3.616,46,
1452,Last Train Home (Originally Performed by Lostprophets) - Vocal Version,Singer's Edge Karaoke,2013,4.091433333,4,"Ty Segall, The Karaoke Channel, The Adults"
1453,Live And Let Die,Guns N' Roses,1991,3.04555,69,"Seven Mary Three, The Beloved"
1454,Centerfield,John Fogerty,2010,3.855766667,61,"Stereophonics, Queens of the Stone Age, The Script, Animal Collective"
1455,Alex Chilton - 2008 Remaster,The Replacements,1987,3.23955,52,
1456,Jokerman,Bob Dylan,1983,6.269333333,50,"The Rolling Stones, Don Henley, Journey, Eric Clapton, R.E.M."
1457,In the City - 2013 Remaster,Eagles,1979,3.742483333,54,"Aerosmith, Bob Seger, Thin Lizzy"
1458,Who Do You Love?,George Thorogood & The Destroyers,1992,4.336,57,"Jane's Addiction, Melissa Etheridge, Red Hot Chili Peppers, Dog's Eye View, Pearl Jam"
1459,Going Up The Country,Canned Heat,1987,2.856216667,63,
1460,Time Stand Still,Rush,1987,5.147766667,52,"Gary Moore, Dead Kennedys, Stone Temple Pilots"
1461,For Tomorrow - 2012 Remaster,Blur,1993,4.354,49,
1462,Candy's Room,Bruce Springsteen,1978,2.770666667,42,"Ramones, Duran Duran"
1463,Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,1996,3.951333333,61,"Tom Petty, Ben Harper And The Innocent Criminals, Crowded House, The Verve Pipe, The McCoys"
1464,In Dreams,Roy Orbison,1963,2.819333333,57,"Elvis Presley, The Beatles"
1465,My Wife,The Who,1971,3.561333333,40,"Joe Cocker, The Moody Blues, Queen"
1466,My Mind's Sedate,Shihad,1999,2.899333333,21,
1467,Nowhere To Run,Martha Reeves & The Vandellas,1965,3.027333333,60,The Beatles
1468,Dreadlock Holiday,10cc,1978,4.465766667,67,John Mellencamp
1469,Lonely Day,System Of A Down,2005,2.798433333,72,"Kings of Leon, Gloria Gaynor"
1470,Click Click Boom,Saliva,2001,4.206666667,70,"Savage Garden, Kings of Leon, Red Hot Chili Peppers"
1471,Carrie,Europe,1986,4.53555,71,U2
1472,Voodoo Child (Slight Return) - Live,Stevie Ray Vaughan,2002,11.87666667,40,
1473,If I Was Your Girlfriend,Prince,1987,5.028883333,48,
1474,Throw Your Arms Around Me,Various Artists,2013,3.970883333,51,"J. Frank Wilson & The Cavaliers, Tesla, CHIC, Bruce Springsteen"
1475,Beginning To See The Light,The Velvet Underground,2014,4.668,36,
1476,That's All - Remastered 2007,Genesis,1983,4.436216667,61,"Frankie Goes To Hollywood, Journey"
1477,Ants Marching,Dave Matthews Band,1994,4.519766667,62,Pearl Jam
1478,Blood Sugar Sex Magik,Red Hot Chili Peppers,1991,4.519333333,52,"Europe, Camper Van Beethoven, Pearl Jam, The Cure, Primal Scream"
1479,Superman (It's Not Easy),Five For Fighting,2000,3.694883333,70,"Radiohead, Afroman, Shania Twain, Limp Bizkit"
1480,Downfall,TRUSTcompany,2002,3.18955,59,"The Strokes, blink-182"
1481,First Date,blink-182,2001,2.858883333,73,The Red Jumpsuit Apparatus
1482,Serenity,Godsmack,2007,4.574666667,48,"Incubus, Foo Fighters, T. Rex, Radiohead"
1483,Given Up,Linkin Park,2007,3.154883333,68,The Shins
1484,Travelin' Band,Creedence Clearwater Revival,1970,2.124883333,59,"Sly & The Family Stone, The Rolling Stones, David Bowie, Led Zeppelin, Deep Purple"
1485,Novocaine For The Soul,Eels,2008,3.128666667,51,"Grateful Dead, U2, Bon Jovi"
1486,Remember (Walkin' In The Sand),The Shangri-Las,1996,2.302216667,52,"Europe, The Diamonds, Foo Fighters, Counting Crows, Various Artists"
1487,Fool To Cry - Remastered 2009,The Rolling Stones,1976,5.09,55,Electric Light Orchestra
1488,In the Ghetto,Elvis Presley,1969,2.790216667,65,"The Stylistics, The Righteous Brothers"
1489,Head On,The Jesus and Mary Chain,1989,4.191333333,48,"Pantera, Dave Matthews Band"
1490,Roots Bloody Roots,Sepultura,1996,3.53755,61,"Primal Scream, The Boo Radleys"
1491,That's the Way of the World,"Earth, Wind & Fire",1975,5.758433333,57,
1492,Right Here Waiting,Richard Marx,1989,4.40555,76,Mazzy Star
1493,Midnight Rambler - Live,The Rolling Stones,2020,10.34355,40,"King Gizzard & The Lizard Wizard, King Gizzard & The Lizard Wizard, Raze, Osees"
1494,Lazy,Deep Purple,1972,7.3771,41,"Black Sabbath, Wings, Thin Lizzy, Gene Pitney, Small Faces"
1495,You Again - Originally By Shihad,earthtone9,2004,4.594883333,1,
1496,Counting the Beat,Various Artists,2020,3.07155,21,
1497,Elected,Alice Cooper,1973,4.134,38,"Nationalteatern, Triumph, Bob Dylan"
1498,Dirty Water,The Standells,1966,2.78755,45,
1499,The Seeker - Edit,The Who,1971,3.172883333,61,"Elton John, Peter Frampton, Parliament, Simon & Garfunkel, Dr. Hook"
1500,Sisters Are Doin' It For Themselves - (Tribute to The Eurythmics & Aretha Franklin),Studio Allstars,2009,4.11955,0,Sidecar Radio
1501,Seein' Red,Unwritten Law,2001,3.781766667,47,"Liz Phair, Trapt"
1502,Cold,Crossfade,2004,3.2371,68,"Anberlin, Matchbox Twenty, Audioslave, Jimmy Eat World, Blur"
1503,Shout,Tears For Fears,1985,6.5611,71,"Australian Crawl, Bruce Springsteen, ZZ Top, Faith No More, Talking Heads"
1504,I Don't Know - EP Version,The Sheepdogs,2011,3.182433333,48,"Cold Chisel, OneRepublic, King Gizzard & The Lizard Wizard, Various Artists"
1505,Detachable Penis,King Missile,1992,3.387333333,44,Liquid Liquid
1506,DARE,Gorillaz,2005,4.083316667,74,
1507,Reckless (Don't Be So...) - Remastered,Australian Crawl,1983,5.3998,56,Glenn Medeiros
1508,Holy Wars...The Punishment Due - Remastered 2004,Megadeth,1990,6.543333333,66,"The Smiths, Aerosmith, Dead Or Alive, Phil Collins, Guns N' Roses"
1509,Beautiful Dangerous (feat. Fergie),Slash,2010,4.64155,38,
1510,Phasors On Stun,FM,1977,3.816,32,"The Associates, Blondie"
1511,Waiting for the Bus / Jesus Just Left for Chicago,CMH Steel,2002,6.72755,2,"Luke Haines, Foo Fighters, John Denver, The Hit Co., The Go-Betweens"
1512,Sara - 2015 Remaster,Fleetwood Mac,1979,4.5851,63,
1513,Face Down,The Red Jumpsuit Apparatus,2006,3.2,75,"Hoobastank, Saving Abel, Green Day, Avenged Sevenfold, Foo Fighters"
1514,Optimistic,Radiohead,2000,5.266216667,54,The Coasters
1515,Destiny,Zero 7,2001,5.637983333,58,"Ozzy Osbourne, System Of A Down, The Verve, Red Hot Chili Peppers"
1516,Ain't Too Proud To Beg - Remastered,The Rolling Stones,1974,3.509333333,37,"The Moody Blues, Madness, Buzzcocks"
1517,Pink Cadillac - Single B-Side - 1984,Bruce Springsteen,1998,3.5511,52,"Cold, Flogging Molly, Everclear, Various Artists, Fear Factory"
1518,Lady Picture Show,Stone Temple Pilots,1996,4.1051,46,The Bucketheads
1519,The Shape I'm In - Remastered 2000,The Band,1970,4.00955,52,
1520,We've Got Tonight,Bob Seger,1978,4.686883333,57,"Eagles, Gordon Lightfoot, The Stylistics"
1521,Jerry Was A Racecar Driver - 2013 Mix,Primus,1991,3.18155,28,"Sass Jordan, Clawfinger"
1522,Teach Your Children,"Crosby, Stills, Nash & Young",1970,2.8911,64,"Bobbie Gentry, John Denver"
1523,Counting Blue Cars (Tell Me Your Thoughts On God),Various Artists,2015,4.842,46,"King Gizzard & The Lizard Wizard, Dr. Dog"
1524,Vindicated,Dashboard Confessional,2007,3.355766667,52,"Muse, Bloc Party"
1525,Wheel in the Sky,Journey,1978,4.204,63,"Bob Seger, Bob Dylan, Ramones, The Police"
1526,Run,Snow Patrol,2004,5.9091,64,PJ Harvey
1527,Punk Rock Girl,The Dead Milkmen,1988,2.638883333,51,"The Black Sorrows, ZZ Top"
1528,Neon Sunrise - Bonus Track,I Am Giant,2014,4.56155,12,Cairo Knife Fight
1529,Bed Of Roses,Bon Jovi,1992,6.573333333,73,"Phil Collins, Crowded House, Bad English"
1530,Only the Good Die Young,Billy Joel,1977,3.926,66,"Ramones, Warren Zevon, David Bowie, The Rolling Stones, AC/DC"
1531,Poison Girl,HIM,2014,3.851716667,31,Matt Mays
1532,Are You Experienced?,Jimi Hendrix,1967,4.260216667,49,"Deep Purple, Black Sabbath, The Stooges, Smokey Robinson & The Miracles, The Kinks"
1533,I Love It Loud,KISS,1982,4.2571,58,"Bob Seger, The Power Station, Tom Petty and the Heartbreakers, The Cars, INXS"
1534,The Good Left Undone,Rise Against,2006,3.024216667,49,Beck
1535,Shop Around,Smokey Robinson & The Miracles,1998,2.822216667,12,"Mercury Rev, Scritti Politti, Super Furry Animals, Petula Clark"
1536,Rid Of Me,PJ Harvey,1993,4.480433333,51,"Crash Test Dummies, The Tragically Hip, Nine Inch Nails, Muddy Waters"
